id,customer_id,net_amount,fee_internal_amount,fee_external_amount,category,transaction_date,year_month,cohort_month,created_at
1,28273,200000,500,4000,VA_BANK_BRI,2024-11-02,2024-11,2024-10,2024-01-17 16:03:52.874178+00:00
2,29715,100000,500,4000,VA_BANK_BRI,2024-11-02,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
3,578,100000,500,4000,VA_BANK_MANDIRI,2024-11-02,2024-11,2024-08,2024-01-17 16:03:52.874178+00:00
4,26387,10000,500,4000,VA_BANK_BRI,2024-11-02,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
5,29732,100000,500,4000,VA_BANK_MANDIRI,2024-11-02,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
6,14914,900000,500,4000,VA_BANK_BRI,2024-11-03,2024-11,2024-09,2024-01-17 16:03:52.874178+00:00
7,5350,10000000,500,4000,VA_BANK_BRI,2024-11-05,2024-11,2024-10,2024-01-17 16:03:52.874178+00:00
8,19393,144258,500,4000,VA_BANK_BRI,2024-11-05,2024-11,2024-10,2024-01-17 16:03:52.874178+00:00
9,30157,600000,500,4000,VA_BANK_MANDIRI,2024-11-03,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
10,19010,150000,500,4000,VA_BANK_BRI,2024-11-05,2024-11,2024-10,2024-01-17 16:03:52.874178+00:00
11,27012,100000,500,4000,VA_BANK_BRI,2024-11-02,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
12,31355,1000000,500,4000,VA_BANK_BRI,2024-11-06,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
13,31355,700000,500,4000,VA_BANK_BRI,2024-11-06,2024-11,2024-11,2024-01-17 16:03:52.874178+00:00
14,619,50000,500,4000,VA_BANK_BRI,2024-11-05,2024-11,2024-07,2024-01-19 03:50:52.805030+00:00
15,581,10000,500,4000,VA_BANK_MANDIRI,2024-07-28,2024-07,2024-07,2024-01-19 03:50:52.805030+00:00
16,596,50000,500,4000,VA_BANK_MANDIRI,2024-07-30,2024-07,2024-07,2024-01-19 03:50:52.805030+00:00
17,654,15000,500,4000,VA_BANK_MANDIRI,2024-07-30,2024-07,2024-07,2024-01-19 03:50:52.805030+00:00
18,594,20000,500,4000,VA_BANK_MANDIRI,2024-07-31,2024-07,2024-07,2024-01-19 03:50:52.805030+00:00
19,20970,2170000,500,4000,VA_BANK_BRI,2024-11-06,2024-11,2024-11,2024-01-19 03:50:52.805030+00:00
